Run number,result
0,17
1,11
2,10
3,8
4,13
5,8
6,16
7,15
8,12
9,12
10,16
11,9
12,10
13,20
14,9
15,9
16,15
17,11
18,17
19,10
20,9
21,18
22,8
23,11
24,10
25,11
26,13
27,8
28,10
29,11
30,8
31,10
32,15
33,11
34,10
35,14
36,8
37,14
38,9
39,9
40,11
41,12
42,11
43,17
44,8
45,12
46,11
47,17
48,9
49,10
50,12
51,8
52,10
53,8
54,13
55,16
56,10
57,8
58,11
59,8
60,9
61,9
62,14
63,8
64,9
65,12
66,8
67,8
68,8
69,25
70,9
71,8
72,8
73,9
74,10
75,11
76,12
77,10
78,11
79,14
80,14
81,19
82,9
83,11
84,14
85,12
86,9
87,11
88,8
89,8
90,11
91,13
92,13
93,11
94,13
95,12
96,8
97,12
98,10
99,16
100,12
101,12
102,16
103,17
104,11
105,13
106,9
107,13
108,8
109,10
110,8
111,11
112,10
113,8
114,10
115,11
116,21
117,12
118,9
119,15
120,19
121,9
122,9
123,12
124,8
125,11
126,15
127,13
128,23
129,8
130,10
131,17
132,9
133,13
134,14
135,14
136,12
137,16
138,16
139,13
140,13
141,12
142,16
143,10
144,13
145,13
146,17
147,14
148,10
149,8
150,15
151,13
152,10
153,10
154,10
155,10
156,11
157,10
158,11
159,13
160,11
161,17
162,8
163,11
164,8
165,9
166,8
167,9
168,14
169,10
170,8
171,11
172,9
173,16
174,9
175,11
176,10
177,11
178,12
179,14
180,10
181,9
182,14
183,15
184,8
185,8
186,11
187,10
188,10
189,8
190,16
191,11
192,11
193,12
194,9
195,15
196,11
197,12
198,12
199,8
200,11
201,14
202,9
203,8
204,52
205,9
206,20
207,9
208,13
209,9
210,12
211,15
212,11
213,17
214,15
215,8
216,9
217,18
218,14
219,17
220,13
221,11
222,16
223,8
224,8
225,9
226,18
227,13
228,14
229,13
230,11
231,14
232,8
233,17
234,10
235,11
236,10
237,9
238,10
239,14
240,10
241,12
242,14
243,17
244,10
245,8
246,10
247,9
248,15
249,10
