Run number,result
0,395
1,262
2,134
3,84
4,73
5,56
6,98
7,306
8,57
9,144
10,131
11,256
12,51
13,267
14,125
15,45
16,190
17,103
18,210
19,1198
20,39
21,71
22,313
23,339
24,248
25,108
26,137
27,236
28,287
29,93
30,91
31,89
32,90
33,54
34,27
35,409
36,216
37,43
38,84
39,167
40,137
41,117
42,253
43,35
44,88
45,49
46,775
47,400
48,141
49,315
50,135
51,177
52,130
53,86
54,756
55,26
56,154
57,178
58,600
59,571
60,193
61,81
62,345
63,533
64,107
65,437
66,67
67,90
68,37
69,29
70,60
71,275
72,70
73,131
74,261
75,184
76,92
77,87
78,281
79,153
80,168
81,65
82,380
83,110
84,198
85,333
86,251
87,101
88,77
89,156
90,251
91,103
92,100
93,115
94,234
95,635
96,157
97,377
98,126
99,46
100,154
101,424
102,73
103,105
104,227
105,196
106,48
107,153
108,37
109,46
110,108
111,148
112,201
113,414
114,40
115,116
116,41
117,80
118,384
119,103
120,209
121,186
122,261
123,238
124,272
125,116
126,117
127,48
128,75
129,63
130,50
131,63
132,123
133,26
134,131
135,170
136,44
137,87
138,136
139,738
140,100
141,59
142,52
143,89
144,55
145,130
146,48
147,221
148,104
149,75
150,565
151,195
152,375
153,102
154,291
155,412
156,172
157,80
158,334
159,61
160,23
161,367
162,139
163,293
164,64
165,41
166,97
167,291
168,430
169,33
170,48
171,104
172,226
173,98
174,225
175,299
176,91
177,1085
178,532
179,185
180,161
181,49
182,251
183,146
184,19
185,275
186,689
187,220
188,18
189,475
190,92
191,164
192,170
193,129
194,17
195,120
196,609
197,301
198,258
199,463
200,464
201,75
202,175
203,220
204,174
205,48
206,370
207,117
208,185
209,87
210,33
211,73
212,107
213,307
214,200
215,152
216,238
217,221
218,106
219,85
220,481
221,159
222,163
223,149
224,219
225,289
226,88
227,166
228,55
229,324
230,40
231,54
232,112
233,353
234,144
235,147
236,428
237,83
238,207
239,190
240,136
241,77
242,136
243,495
244,160
245,30
246,156
247,206
248,127
249,598
250,189
251,125
252,635
253,413
254,318
255,252
256,89
257,170
258,61
259,227
260,63
261,452
262,79
263,175
264,24
265,85
266,36
267,626
268,55
269,233
270,267
271,198
272,131
273,172
274,560
275,112
276,27
277,197
278,456
279,339
280,234
281,72
282,96
283,217
284,558
285,265
286,100
287,85
288,78
289,274
290,303
291,187
292,58
293,23
294,109
295,74
296,216
297,88
298,475
299,87
300,156
301,92
302,100
303,22
304,50
305,466
306,52
307,95
308,53
309,74
310,58
311,124
312,39
313,80
314,52
315,102
316,153
317,210
318,316
319,212
320,355
321,290
322,382
323,224
324,144
325,70
326,297
327,195
328,436
329,26
330,71
331,80
332,565
333,118
334,170
335,105
336,299
337,76
338,104
339,613
340,180
341,601
342,175
343,28
344,175
345,105
346,106
347,376
348,135
349,87
350,226
351,383
352,129
353,232
354,251
355,47
356,45
357,206
358,159
359,41
360,54
361,50
362,206
363,178
364,48
365,267
366,131
367,167
368,270
369,76
370,61
371,394
372,93
373,197
374,149
375,176
376,131
377,444
378,279
379,36
380,158
381,30
382,230
383,197
384,574
385,165
386,30
387,276
388,228
389,91
390,77
391,408
392,155
393,36
394,251
395,288
396,253
397,243
398,52
399,74
400,229
401,110
402,147
403,190
404,131
405,35
406,70
407,459
408,131
409,43
410,292
411,49
412,114
413,210
414,504
415,147
416,236
417,166
418,66
419,178
420,224
421,243
422,95
423,134
424,212
425,139
426,360
427,55
428,30
429,52
430,120
431,108
432,678
433,194
434,598
435,388
436,36
437,44
438,78
439,198
440,401
441,40
442,639
443,503
444,63
445,247
446,117
447,312
448,47
449,28
450,223
451,64
452,184
453,95
454,47
455,388
456,593
457,164
458,87
459,102
460,125
461,42
462,117
463,383
464,50
465,388
466,634
467,151
468,273
469,260
470,523
471,129
472,207
473,27
474,498
475,100
476,58
477,25
478,130
479,475
480,361
481,375
482,50
483,66
484,781
485,114
486,181
487,30
488,80
489,66
490,47
491,167
492,71
493,149
494,43
495,14
496,282
497,205
498,133
499,505
500,374
501,79
502,664
503,388
504,152
505,32
506,243
507,67
508,272
509,238
510,118
511,163
512,99
513,153
514,130
515,29
516,151
517,471
518,145
519,34
520,267
521,224
522,193
523,42
524,29
525,94
526,143
527,220
528,114
529,141
530,102
531,22
532,28
533,45
534,707
535,173
536,335
537,162
538,86
539,415
540,468
541,189
542,34
543,179
544,150
545,70
546,219
547,318
548,418
549,380
550,186
551,200
552,62
553,279
554,27
555,79
556,157
557,253
558,125
559,183
560,465
561,290
562,153
563,366
564,418
565,204
566,246
567,86
568,200
569,276
570,77
571,42
572,36
573,57
574,179
575,249
576,143
577,290
578,173
579,214
580,257
581,51
582,89
583,181
584,144
585,395
586,570
587,260
588,216
589,158
590,67
591,242
592,374
593,254
594,67
595,46
596,287
597,318
598,48
599,90
600,26
601,34
602,174
603,67
604,422
605,65
606,577
607,70
608,109
609,71
610,303
611,112
612,484
613,51
614,326
615,209
616,317
617,443
618,142
619,38
620,164
621,131
622,52
623,95
624,104
625,204
626,240
627,153
628,194
629,236
630,149
631,55
632,212
633,92
634,119
635,260
636,112
637,176
638,98
639,66
640,187
641,135
642,37
643,178
644,69
645,34
646,35
647,51
648,48
649,33
650,376
651,48
652,177
653,88
654,49
655,66
656,322
657,116
658,210
659,112
660,200
661,288
662,99
663,514
664,231
665,223
666,90
667,49
668,138
669,264
670,355
671,134
672,58
673,147
674,328
675,85
676,118
677,163
678,192
679,31
680,491
