Run number,result
0,35
1,13
2,25
3,18
4,16
5,14
6,28
7,37
8,14
9,31
10,13
11,17
12,44
13,17
14,21
15,16
16,26
17,17
18,31
19,21
20,15
21,30
22,21
23,18
24,41
25,19
26,20
27,18
28,12
29,28
30,16
31,12
32,13
33,22
34,10
35,19
36,11
37,22
38,24
39,19
40,19
41,17
42,18
43,38
44,25
45,13
46,13
47,19
48,16
49,41
50,9
51,14
52,14
53,17
54,17
55,17
56,21
57,25
58,15
59,16
60,20
61,9
62,29
63,17
64,11
65,11
66,18
67,30
68,10
69,34
70,13
71,22
72,14
73,20
74,20
75,22
76,16
77,20
78,21
79,28
80,23
81,16
82,21
83,11
84,13
85,28
86,7
87,14
88,23
89,12
90,18
91,27
92,13
93,24
94,23
95,23
96,42
97,12
98,12
99,21
100,22
101,18
102,12
103,17
104,34
105,17
106,11
107,14
108,21
109,17
110,31
111,18
112,25
113,16
114,25
115,28
116,17
117,11
118,21
119,13
120,48
121,14
122,10
123,16
124,17
125,12
126,41
127,18
128,15
129,17
130,16
131,20
132,14
133,13
134,16
135,16
136,12
137,19
138,10
139,27
140,13
141,22
142,10
143,11
144,15
145,12
146,14
147,12
148,21
149,9
150,21
151,23
152,16
153,35
154,10
155,21
156,13
157,20
158,14
159,14
160,22
161,16
162,15
163,10
164,33
165,17
166,25
167,31
168,38
169,14
170,21
171,13
172,12
173,20
174,13
175,9
176,30
177,21
178,8
179,14
180,13
181,19
182,33
183,17
184,25
185,24
186,14
187,25
188,21
189,21
190,20
191,23
192,45
193,14
194,19
195,18
196,29
197,16
198,45
199,13
200,8
201,28
202,27
203,8
204,24
205,19
206,7
207,15
208,16
209,18
210,13
211,11
212,18
213,11
214,25
215,11
216,37
217,20
218,21
219,9
220,14
221,16
222,19
223,15
224,22
225,21
226,9
227,15
228,25
229,15
230,27
231,21
232,17
233,29
234,13
235,18
236,11
237,17
238,45
239,23
240,21
241,15
242,10
243,18
244,18
245,10
246,20
247,17
248,25
249,38
