Run number,result
0,196
1,132
2,83
3,78
4,69
5,74
6,313
7,165
8,141
9,202
10,59
11,790
12,151
13,253
14,87
15,121
16,349
17,692
18,121
19,133
20,351
21,372
22,53
23,175
24,304
25,192
26,670
27,142
28,22
29,54
30,269
31,113
32,101
33,446
34,191
35,255
36,31
37,190
38,446
39,82
40,67
41,457
42,220
43,551
44,19
45,26
46,90
47,93
48,155
49,108
50,191
51,216
52,280
53,104
54,163
55,439
56,140
57,65
58,90
59,100
60,619
61,99
62,57
63,104
64,536
65,154
66,36
67,82
68,51
69,119
70,75
71,90
72,795
73,176
74,224
75,133
76,362
77,123
78,281
79,130
80,305
81,47
82,144
83,41
84,142
85,237
86,189
87,239
88,120
89,172
90,40
91,29
92,241
93,278
94,134
95,113
96,43
97,322
98,137
99,101
100,62
101,421
102,122
103,11
104,78
105,223
106,169
107,52
108,29
109,84
110,535
111,117
112,73
113,156
114,218
115,117
116,594
117,41
118,24
119,168
120,54
121,417
122,232
123,459
124,150
125,228
126,167
127,62
128,71
129,203
130,105
131,931
132,401
133,290
134,130
135,125
136,50
137,23
138,212
139,59
140,17
141,36
142,473
143,31
144,272
145,41
146,177
147,395
148,431
149,321
150,272
151,317
152,36
153,580
154,385
155,283
156,113
157,113
158,95
159,31
160,80
161,242
162,50
163,69
164,76
165,44
166,196
167,203
168,31
169,234
170,63
171,159
172,25
173,140
174,209
175,53
176,49
177,319
178,97
179,107
180,106
181,83
182,144
183,176
184,173
185,166
186,63
187,44
188,122
189,241
190,84
191,306
192,55
193,125
194,754
195,337
196,213
197,279
198,212
199,100
200,299
201,25
202,51
203,127
204,79
205,254
206,156
207,187
208,178
209,441
210,29
211,61
212,191
213,337
214,110
215,64
216,47
217,246
218,163
219,186
220,285
221,143
222,169
223,265
224,319
225,263
226,91
227,200
228,61
229,266
230,276
231,87
232,42
233,87
234,68
235,78
236,240
237,232
238,221
239,108
240,75
241,183
242,82
243,242
244,161
245,377
246,12
247,272
248,162
249,36
250,176
251,196
252,174
253,572
254,142
255,119
256,210
257,85
258,89
259,46
260,180
261,209
262,138
263,251
264,127
265,109
266,99
267,140
268,96
269,44
270,69
271,443
272,181
273,115
274,182
275,118
276,50
277,488
278,266
279,119
280,315
281,594
282,254
283,210
284,120
285,407
286,251
287,163
288,792
289,73
290,319
291,61
292,26
293,431
294,159
295,46
296,368
297,314
298,81
299,157
300,135
301,114
302,86
303,82
304,62
305,130
306,345
307,140
308,70
309,81
310,149
311,61
312,118
313,254
314,139
315,45
316,62
317,136
318,43
319,22
320,129
321,97
322,299
323,50
324,34
325,76
326,75
327,429
328,237
329,235
330,36
331,304
332,297
333,228
334,118
335,82
336,892
337,191
338,77
339,258
340,30
341,137
342,258
343,46
344,610
345,100
346,151
347,396
348,54
349,494
350,150
351,352
352,82
353,223
354,122
355,55
356,105
357,592
358,82
359,17
360,125
361,31
362,463
363,75
364,25
365,260
366,28
367,98
368,86
369,282
370,20
371,562
372,81
373,200
374,75
375,217
376,263
377,273
378,283
379,189
380,113
381,140
382,545
383,109
384,76
385,62
386,311
387,187
388,111
389,105
390,114
391,150
392,31
393,297
394,423
395,23
396,69
397,37
398,61
399,137
400,135
401,18
402,90
403,160
404,274
405,87
406,72
407,33
408,176
409,138
410,162
411,96
412,114
413,44
414,146
415,75
416,358
417,199
418,227
419,165
420,35
421,530
422,716
423,277
424,91
425,762
426,350
427,100
428,185
429,137
430,241
431,85
432,139
433,92
434,432
435,17
436,133
437,224
438,21
439,65
440,125
441,213
442,36
443,612
444,28
445,221
446,367
447,33
448,189
449,83
450,36
451,599
452,76
453,48
454,45
455,195
456,79
457,174
458,87
459,568
460,140
461,113
462,115
463,78
464,138
465,186
466,47
467,120
468,554
469,209
470,154
471,64
472,193
473,200
474,452
475,86
476,598
477,205
478,66
479,188
480,44
481,88
482,232
483,20
484,132
485,412
486,210
487,150
488,196
489,142
490,152
491,247
492,246
493,27
494,137
495,148
496,226
497,54
498,81
499,153
500,477
501,72
502,329
503,57
504,165
505,188
506,515
507,599
508,67
509,103
510,226
511,29
512,200
513,489
514,105
515,27
516,387
517,65
518,57
519,45
520,25
521,49
522,43
523,219
524,409
525,62
526,176
527,35
528,20
529,37
530,171
531,401
532,43
533,45
534,214
535,249
536,28
537,37
538,72
539,114
540,225
541,84
542,33
543,46
544,190
545,434
546,119
547,143
548,87
549,181
550,99
551,40
552,47
553,260
554,39
555,303
556,158
557,85
558,820
559,150
560,886
561,79
562,342
563,167
564,107
565,70
566,328
567,44
568,59
569,313
570,128
571,104
572,24
573,320
574,64
575,218
576,223
577,50
578,105
579,374
580,70
581,183
582,123
583,85
584,37
585,56
586,173
587,88
588,337
589,96
590,107
591,266
592,187
593,494
594,124
595,126
596,62
597,216
598,62
599,46
600,167
601,199
602,75
603,114
604,83
605,86
606,68
607,454
608,117
609,166
610,149
611,123
612,129
613,67
614,144
615,293
616,175
617,225
618,133
619,91
620,33
621,65
622,238
623,390
624,18
625,117
626,147
627,70
628,51
629,95
630,297
631,103
632,302
633,237
634,42
635,249
636,213
637,75
638,137
639,130
640,234
641,21
642,223
643,74
644,70
